year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,accountant (excluding tax accountant),6695,5498,4600,6620,5434,4552
2024,actuary,13484,7572,4987,12790,7460,4970
2024,administration manager,8431,6388,4569,8351,6320,4480
2024,advertising salesman,6120,5500,4651,6120,5500,4651
2024,advertising/public relations manager,13333,8514,5943,13218,8429,5900
2024,aeronautical engineer,8142,6046,4729,8063,5998,4702
2024,aeronautical engineering technician,6054,4481,3235,5553,4220,3029
2024,after sales adviser/client account service executive,9583,5620,4054,9500,5500,4000
2024,aged care services manager,9997,7759,6091,9840,7719,6000
2024,air cargo officer,5362,4201,3425,5322,4117,3300
2024,air transport clerk,3800,3160,2714,3800,3160,2714
2024,air transport equipment project executive,7735,4555,2811,7684,4555,2811
2024,air transport service supervisor,7536,5552,4425,7536,4890,3940
2024,air-conditioning/refrigeration engineer,9106,6503,5419,8704,6487,5346
2024,air-conditioning/refrigeration engineering technician,5750,4141,2900,5750,4141,2900
2024,air-conditioning/refrigeration equipment mechanic,4003,3263,2475,4003,3070,2475
2024,aircraft loader (e.g. airport baggage/cargo handler),3775,3216,2402,3775,3211,2373
2024,airport mobile equipment operator,3935,3081,2526,3746,2940,2347
2024,ambulance driver,3129,2386,1848,2837,2213,1704
2024,anaesthesiologist,7633,6712,6195,7158,6182,5687
2024,applications/systems programmer,7660,6500,6050,7585,6500,6050
2024,appraiser/valuer (excluding intangible asset valuer),8251,5281,3140,8251,5281,3140
2024,aquarium fish farm worker,4069,3630,3165,4060,3630,3165
2024,architectural draughtsman,5400,4135,3300,5363,4135,3300
2024,art and craft instructor (extracurriculum),4183,3300,2400,4183,3300,2400
2024,"artistic director (stage, film, television, game and radio)",7280,5500,4260,7280,5500,4260
2024,arts and cultural centre manager (including gallery and museum manager),6650,4550,3800,6650,4550,3800
2024,assessor,6777,5100,3926,6670,5082,3914
2024,assistant accountant,4575,3885,3300,4500,3811,3285
2024,assistant civil and structural engineer,5838,4110,3300,5572,3849,3100
2024,assistant electrical engineer,6579,4871,3800,6533,4782,3575
2024,assistant electronics engineer,7078,4632,3600,6000,4352,3500
2024,assistant manufacturing engineer,5544,4003,3328,4605,3500,3015
2024,assistant mechanical engineer,4800,3983,3272,4472,3659,3000
2024,athlete/sportsman,4000,2658,2415,4000,2485,2300
2024,attractions guide,2497,2000,1289,2497,2000,1289
2024,attractions manager,8080,6195,4300,8080,6195,4300
2024,audio and video equipment engineer,6540,4837,3921,6540,4800,3920
2024,audio and video equipment technician,5235,3869,3012,5229,3790,2981
2024,audiologist,5800,4884,3963,5800,4884,3890
